"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3K200B/S3K170B/S3K140B (Référence S3K200B_20221112)","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","01/20/2023","01/20/2028","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2023_05fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2023_05en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3K250A/S3K232A/S3K212A Référence S3K250A_20221028","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","01/20/2023","01/20/2028","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2023_04fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2023_04en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","AQUARIUS_BA_09 ( AQUARIUS_v1 )","Thal&egrave;s Communications","FR","EAL6+,ALC_FLR.2,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","01/11/2023","01/11/2028","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2023_01_0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-2023_01en_0.pdf","06/21/2023","Maintenance report ANSSI-CC-2023/01-M01","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2023_01-M01.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2023_01-M01.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","AQUARIUS_BA_09 ( AQUARIUS_v1 )","Thal&egrave;s Communications","FR","EAL6+,ALC_FLR.2,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","01/11/2023","01/11/2028","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2023_01_0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-2023_01en_0.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Cryptographic library NESLIB 6.7.4 on ST31N600 A01","STMicroelectronics","FR","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","12/23/2022","12/23/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_42.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible-anssi-cc-2022_42.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Cryptographic library NESLIB 6.7.4 on ST31P450 A04","STMicroelectronics","FR","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","12/23/2022","12/23/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_50.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_50.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","MIFARE DESFire EV2 on ST31P450 A04 (version 1.0.4)","STMicroelectronics","FR","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","12/15/2022","12/15/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_43.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible_anssi_cc_2022_43.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Digital Identity 1.0.A PACE, EAC on MultiApp V5.0.A(version 1.0.A)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_57fr-sherwood-c.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_57en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5.A BAC on MultiApp V5.0.A (version 2.5.A.0)","THALES DIS FRANCE SA","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_54fr-bac.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_54en.pdf","07/04/2023","ANSSI-CC-2022/54-M01","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2022_54-M01fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2022_54-M01en.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5.A BAC on MultiApp V5.0.A (version 2.5.A.0)","THALES DIS FRANCE SA","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_54fr-bac.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_54en.pdf","04/04/2024","ANSSI-CC-2022/54-M02","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2022_54-M02fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2022_54-M02en.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5.A BAC on MultiApp V5.0.A (version 2.5.A.0)","THALES DIS FRANCE SA","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_54fr-bac.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_54en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5.A EAC on BAC on MultiApp V5.0.A (version 2.5.A.0.0)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD-PP_V1.10","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_55fr-eac-on-bac.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_55en.pdf","07/04/2023","ANSSI-CC-2022/55-M01","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2022_55-M01fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2022_55-M01en.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5.A EAC on BAC on MultiApp V5.0.A (version 2.5.A.0.0)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD-PP_V1.10","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_55fr-eac-on-bac.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_55en.pdf","04/04/2024","ANSSI-CC-2022/55-M02","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2022_55-M02fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2022_55-M02en.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5.A EAC on BAC on MultiApp V5.0.A (version 2.5.A.0.0)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD-PP_V1.10","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_55fr-eac-on-bac.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_55en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5.A EAC on SAC on MultiApp V5.0.A(version 2.5.A.0.0)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_56fr-eac-on-sac.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_56en.pdf","07/04/2023","ANSSI-CC-2022/56-M01","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2022_56-M01fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2022_56-M01en.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5.A EAC on SAC on MultiApp V5.0.A(version 2.5.A.0.0)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_56fr-eac-on-sac.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_56en.pdf","04/04/2024","ANSSI-CC-2022/56-M02","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2022_56-M02fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2022_56-M02en.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5.A EAC on SAC on MultiApp V5.0.A(version 2.5.A.0.0)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_56fr-eac-on-sac.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_56en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.2 – BAC and AA activated (release ‘0300’)","THALES DIS FRANCE SA","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_60.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_60en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.2 – BAC, EAC and AA activated (release ‘0300’)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD-PP_V1.10","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_61.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/certificat-cc-2022_61.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.2 – PACE, EAC and AA activated (release ‘0300’)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_62.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_62en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller P6021y VB* including IC Dedicated Software","NXP Semiconductors Germany GmbH","DE","EAL6+,ALC_FLR.1,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/1072V5a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1072V4b_pdf.pdf","12/17/2021","NXP Secure Smart Card Controller P6021y VB* including IC Dedicated Software","http://www.commoncriteriaportal.org:80/files/epfiles/1072V5ma2a_pdf.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller P6021y VB* including IC Dedicated Software","NXP Semiconductors Germany GmbH","DE","EAL6+,ALC_FLR.1,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/1072V5a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1072V4b_pdf.pdf","10/12/2023","NXP Secure Smart Card Controller P6021y VB* including IC Dedicated Software","http://www.commoncriteriaportal.org:80/files/epfiles/1072V5ma1a_pdf.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller P6021y VB* including IC Dedicated Software","NXP Semiconductors Germany GmbH","DE","EAL6+,ALC_FLR.1,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/1072V5a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1072V4b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller P6022y VB* including IC Dedicated Software","NXP Semiconductors Germany GmbH","DE","EAL6+,ALC_FLR.1,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/1059V5a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1059V5b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3SSE1A (S3SSE1A_20220930)","Samsung","FR","EAL6+,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_66fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_66en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Secure Element S3B512C/SC3512C (32-bit RISC Microcontroller) with optional ATP1 Secure Library and Fingerprint Library including specific IC Dedicated software","Samsung Electronics Co., Ltd.","FR","EAL6+,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2022_63fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2022_63en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","STMicroelectronics J-TACHOG2V2 v.1.0.2","STMicroelectronics","NL","EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","TC_PP","12/12/2022","12/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0635023 CR (25-01-2022).pdf","http://www.commoncriteriaportal.org:80/files/epfiles/jtachog2v2_securitytarget_lite_b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","VERA Type-II SSR Application Firmware v1.5.2","MT B&#x130;LG&#x130; TEKNOLOJ&#x130;LER&#x130; VE DI&#x15e; T&#x130;C.A.&#x15e;.","TR","EAL4+,ALC_DVS.2","","12/09/2022","12/09/2027","http://www.commoncriteriaportal.org:80/files/epfiles/MT-VERA Certification Report.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/VERA MTK200 KEC_ST v2.2.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TnD v5.1 on ID-One Cosmo J V2 (BAC Configuration)","Idemia","NL","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","12/07/2022","12/07/2027","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0237686_2-cr2-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0237686_2-stl_ed3.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TnD v5.1 on ID-One Cosmo J V2 (EAC Configuration)","Idemia","NL","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD_ICAO_EAC_V1.3","12/07/2022","12/07/2027","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0237694-cr2-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0237694-stl_ed4.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TnD v5.1 on ID-One Cosmo J V2 (PACE/EAC1/Polymorphic eMRTD/LDS2 configuration)","Idemia","NL","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","12/07/2022","12/07/2027","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0237695-cr2-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0237695-stl_ed4.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon SECORA™ ID X v1.1 (SLJ52GxAyyyzX)","Infineon Technologies AG","NL","EAL6+,ALC_FLR.1","JAVA_OC","12/02/2022","12/02/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0031318-CR3-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0031318_3-STv1.6.pdf","10/28/2024","Assurance Continuity Maintenance Report","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0031318-3-ma1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0031318-3-ma1-st.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon SECORA™ ID X v1.1 (SLJ52GxAyyyzX)","Infineon Technologies AG","NL","EAL6+,ALC_FLR.1","JAVA_OC","12/02/2022","12/02/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0031318-CR3-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0031318_3-STv1.6.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP JCOP 4.x on P73N2M0B0.2C2/2C6 Secure Element","NXP Semiconductors Germany GmbH, Business Unit Security and Connectivity","NL","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","BSI-PP-0099-V2","12/02/2022","12/02/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-156530-CR4-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-156530-STLite_v4.2.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","BelPIC V1.8 on MultiApp V5.0 Platform","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","PP_SSCD_PART2_V1.03,PP_SSCD_PART5_V1.0.1","11/29/2022","11/29/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_53en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_53en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon SLM10TLD002Y design step A12 with CALYPSO™ move software","Infineon Technologies AG","NL","EAL2+,ALC_DVS.1","CALYPSO BASIC","11/29/2022","11/29/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0449671-CR-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0449671-ST.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP JCOP 6.2 on SN220 Secure Element, R1.01.1, R1.02.1, R1.02.1-1, R2.01.1","NXP Semiconductors Germany GmbH","NL","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","BSI-PP-0099-V2,BSI-PP-0104,UICC_CD","11/29/2022","11/29/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0428888-CR2-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0428888-STLite_v1.8.pdf","05/28/2023","Assurance Continuity Maintenance Report","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0428888-2MA1_v1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0428888_STLite_v1_11.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP JCOP 6.2 on SN220 Secure Element, R1.01.1, R1.02.1, R1.02.1-1, R2.01.1","NXP Semiconductors Germany GmbH","NL","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","BSI-PP-0099-V2,BSI-PP-0104,UICC_CD","11/29/2022","11/29/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0428888-CR2-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0428888-STLite_v1.8.pdf","06/30/2024","NXP JCOP 6.2 on SN220 Secure Element, versions R1.01.1, R1.02.1, R1.02.1-1, R1.02.1-2. R2.01.1, R5.01.1, R5.02.1","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-NSCIB-2300174-01-MA1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-NSCIB-2300174-01-ST_lite_2.1.3.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP JCOP 6.2 on SN220 Secure Element, R1.01.1, R1.02.1, R1.02.1-1, R2.01.1","NXP Semiconductors Germany GmbH","NL","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","BSI-PP-0099-V2,BSI-PP-0104,UICC_CD","11/29/2022","11/29/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0428888-CR2-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0428888-STLite_v1.8.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","STMicroelectronics NesLib 6.7.4 on ST33K1M5A and ST33K1M5M B01","STMicroelectronics","NL","EAL5+,ALC_DVS.2,ALC_FLR.1,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","11/24/2022","11/24/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0587353-CR2-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0587353-STlite_v02_0.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","STMicroelectronics NesLib 6.7.4 on ST33K1M5C and ST33K1M5T B01","STMicroelectronics","NL","EAL5+,ALC_DVS.2,ALC_FLR.1,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","11/24/2022","11/24/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0322914-CR2-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0322914-STlite _v02_0.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme Java Card MultiApp V5.0.A - version 5.0.A","THALES DIS FRANCE SA","FR","EAL6+,ALC_FLR.1","JAVA_OC","11/14/2022","11/14/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_52fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_52en.pdf","07/04/2023","ANSSI-CC-2022/52-M01","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2022_52-M01fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2022_52-M01en.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme Java Card MultiApp V5.0.A - version 5.0.A","THALES DIS FRANCE SA","FR","EAL6+,ALC_FLR.1","JAVA_OC","11/14/2022","11/14/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_52fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_52en.pdf","04/04/2024","ANSSI-CC-2022/52-M02","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2022_52-M02fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2022_52-M02en.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme Java Card MultiApp V5.0.A - version 5.0.A","THALES DIS FRANCE SA","FR","EAL6+,ALC_FLR.1","JAVA_OC","11/14/2022","11/14/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_52fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_52en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3NSEN6_20220515","Samsung Electronics Co., Ltd.","FR","EAL6+,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","11/14/2022","11/14/2027","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2022_41.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2022_41.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Veridos ePass Applet on Sm@rtCafé Expert 8.0 C1, Version 1.0","Veridos GmbH - Identity Solutions by Giesecke &amp; Devrient and Bundesdruckerei","NL","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_BA_V1.10,MRTD_ICAO_EAC_V1.3","10/31/2022","10/31/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0568828-CR-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0568828-STLite_v1.1.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Idemia IDeal Drive DT V3.1 on Cosmo V9.1","Idemia","NL","EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","TACHOGRAPHCARD_V1.02,TC_PP","10/26/2022","10/26/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0286910_2-CR2-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-22-0286910-STlite_ed4.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP JCOP 7.0 on SN300 Secure Element, JCOP 7.0 R1.62.0.1","NXP Semiconductors","NL","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","JAVA_OC,SECURITY_IC_AUGP_V1.0","10/26/2022","10/26/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0441502-CR-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0441502-STLITEv1.4.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Megahunt Security Chip MH1701 with IC Dedicated Software, V04_02","Megahunt Technologies inc","NL","EAL6+,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","10/25/2022","10/25/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0493578-CR-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0493578-STlite_1.1.pdf","","","",""
