Country,FlagCode,OrgName,OrgFullName,OrgLogoUrl,Type,Category,StartYear,EndYear,Title,Description,SourceUrl,SourceDate
Spain,ES,CCN,Centro Criptológico Nacional,,Phase,Migration,2022,2030,PQC Transition Period,Four-phase approach implementation period.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2022-01-01
Switzerland,CH,FIND,Financial Innovation Desk,,Milestone,Guidance,2025,2025,Quantum-Safe Action Plan,Financial Innovation Desk publishes Action Plan to a Quantum-Safe Financial Future with 7-step framework.,https://www.bis.org/,2025-03-01
Switzerland,CH,FINMA,Swiss Financial Market Supervisory Authority,,Phase,Discovery,2025,2027,Financial Sector Planning,Swiss financial institutions develop PQC transition strategies following FIND action plan.,https://www.bis.org/,2025-03-01
United Kingdom,GB,NCSC,National Cyber Security Centre,https://www.ncsc.gov.uk/images/ncsc-logo.svg,Milestone,Guidance,2024,2024,PQC White Paper Updated,NCSC updates PQC White Paper to endorse NIST quantum-safe algorithms. First major jurisdiction to reflect NIST algorithms.,https://www.ncsc.gov.uk/whitepaper/next-steps-preparing-for-post-quantum-cryptography,2024-08-01
United Kingdom,GB,NCSC,National Cyber Security Centre,https://www.ncsc.gov.uk/images/ncsc-logo.svg,Milestone,Guidance,2024,2024,White Paper v2.0 Published,NCSC updates PQC White Paper to version 2.0 with ML-KEM-768 and ML-DSA-65 as baseline parameters.,https://www.ncsc.gov.uk/whitepaper/next-steps-preparing-for-post-quantum-cryptography,2024-08-13
United Kingdom,GB,NCSC,National Cyber Security Centre,https://www.ncsc.gov.uk/images/ncsc-logo.svg,Milestone,Guidance,2025,2025,PQC Migration Roadmap Published,NCSC publishes comprehensive three-phase PQC migration roadmap with specific milestones through 2035.,https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,2024-08-13
United Kingdom,GB,NCSC,National Cyber Security Centre,https://www.ncsc.gov.uk/images/ncsc-logo.svg,Milestone,Standardization,2025,2025,Hardware HSM PQC Support Expected,Advanced HSMs with PQC cryptographic roots of trust expected to become available.,https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,2025-03-20
United Kingdom,GB,NCSC,National Cyber Security Centre,https://www.ncsc.gov.uk/images/ncsc-logo.svg,Phase,Discovery,2025,2028,Discovery & Planning Phase,Organizations complete full discovery of cryptographic services needing upgrades and draft migration plan.,https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,2025-03-20
United Kingdom,GB,NCSC,National Cyber Security Centre,https://www.ncsc.gov.uk/images/ncsc-logo.svg,Phase,Migration,2028,2031,Priority Migration Phase,"Execute high-priority PQC upgrades, refine plans, and prepare infrastructure for full transition.",https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,2025-03-20
United Kingdom,GB,NCSC,National Cyber Security Centre,https://www.ncsc.gov.uk/images/ncsc-logo.svg,Phase,Migration,2031,2035,Full Migration Phase,"Complete migration to PQC for all systems, services, and products.",https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,2025-03-20
United Kingdom,GB,NCSC,National Cyber Security Centre,https://www.ncsc.gov.uk/images/ncsc-logo.svg,Milestone,Deadline,2035,2035,Full PQC Compliance,Target for full compliance with PQC standards across all government and critical sectors.,https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,2025-03-20
United States,US,White House,Executive Office of the President,,Milestone,Policy,2022,2022,NIST IR 8547 Draft Transition Guidance,"NIST publishes draft guidance for transition to PQC standards. Classical asymmetric algorithms deprecated by 2030, disallowed by 2035.",https://www.whitehouse.gov/briefing-room/presidential-actions/2022/05/04/national-security-memorandum-on-promoting-united-states-leadership-in-quantum-computing-and-mitigating-risks-to-vulnerable-cryptographic-systems/,2022-05-04
United States,US,NSA,National Security Agency,,Milestone,Policy,2022,2022,CNSA 2.0 Published,NSA publishes Commercial National Security Algorithm Suite 2.0 with quantum-resistant algorithm requirements.,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,2022-09-07
United States,US,OMB,Office of Management and Budget,,Milestone,Policy,2022,2022,OMB M-23-02 Published,OMB memo requiring federal agencies to submit cryptographic system inventories and prioritized migration plans.,https://www.whitehouse.gov/wp-content/uploads/2022/11/M-23-02-M-Memo-on-Migrating-to-Post-Quantum-Cryptography.pdf,2022-11-18
United States,US,NSA,National Security Agency,,Phase,Migration,2022,2025,Software/Firmware Signing Transition,Begin transitioning immediately; support and prefer CNSA 2.0 by 2025 for software and firmware signing.,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,2022-09-07
United States,US,NIST/NSA,National Institute of Standards and Technology / NSA,,Phase,Discovery,2022,2026,Cryptographic Inventory,Federal agencies perform comprehensive cryptographic inventory using ACDI tools per NSM-10.,https://www.whitehouse.gov/briefing-room/presidential-actions/2022/05/04/national-security-memorandum-on-promoting-united-states-leadership-in-quantum-computing-and-mitigating-risks-to-vulnerable-cryptographic-systems/,2022-05-04
United States,US,NIST,National Institute of Standards and Technology,https://www.nist.gov/themes/custom/nist_www/logo.svg,Milestone,Standardization,2024,2024,"FIPS 203, 204, 205 Published","NIST releases the first set of PQC standards for ML-KEM (FIPS 203), ML-DSA (FIPS 204), and SLH-DSA (FIPS 205).",https://csrc.nist.gov/pubs/fips/203/final,2024-08-13
United States,US,NIST,National Institute of Standards and Technology,https://www.nist.gov/themes/custom/nist_www/logo.svg,Milestone,Guidance,2024,2024,NIST IR 8547 Transition Guidance,"NIST publishes draft guidance for transition to PQC standards, outlining migration approach and timelines.",https://csrc.nist.gov/pubs/ir/8547/ipd,2024-11-12
United States,US,CISA,Cybersecurity and Infrastructure Security Agency,,Milestone,Guidance,2024,2024,Automated PQC Discovery Strategy,CISA publishes Strategy for Migrating to Automated Post-Quantum Cryptography Discovery and Inventory Tools.,https://www.cisa.gov/sites/default/files/2024-09/Strategy-for-Migrating-to-Automated-PQC-Discovery-and-Inventory-Tools.pdf,2024-09-01
United States,US,White House,Executive Office of the President,,Milestone,Policy,2024,2024,PQC Report to Congress,White House publishes July 2024 Report on Post-Quantum Cryptography outlining federal transition strategy.,https://bidenwhitehouse.archives.gov/wp-content/uploads/2024/07/REF_PQC-Report_FINAL_Send.pdf,2024-07-01
United States,US,CISA,Cybersecurity and Infrastructure Security Agency,,Milestone,Guidance,2024,2024,PQC Considerations for OT,CISA publishes Post-Quantum Considerations for Operational Technology guidance.,https://www.cisa.gov/sites/default/files/2024-10/Post-Quantum%20Considerations%20for%20Operational%20Technology%20(508).pdf,2024-10-01
United States,US,NSA,National Security Agency,,Phase,Migration,2024,2025,Web/Cloud Services Transition,Support and prefer CNSA 2.0 by 2025 for web browsers/servers and cloud services.,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,2022-09-07
United States,US,NSA,National Security Agency,,Phase,Migration,2024,2026,Traditional Networking Transition,"Support and prefer CNSA 2.0 by 2026 for traditional networking equipment (VPNs, routers).",https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,2022-09-07
United States,US,NIST,National Institute of Standards and Technology,https://www.nist.gov/themes/custom/nist_www/logo.svg,Milestone,Standardization,2025,2025,HQC Selected as Fifth Algorithm,NIST selects HQC (Hamming Quasi-Cyclic) as backup KEM algorithm based on code-based cryptography.,https://www.nist.gov/news-events/news/2025/03/nist-selects-hqc-fifth-algorithm-post-quantum-encryption,2025-03-11
United States,US,NSA,National Security Agency,,Phase,Migration,2025,2027,Operating Systems Transition,Support and prefer CNSA 2.0 by 2027 for operating systems.,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,2022-09-07
United States,US,NIST NCCoE,NIST National Cybersecurity Center of Excellence,,Phase,Testing,2025,2028,PQC Interoperability Testing,NCCoE performs interoperability testing of standardized PQC algorithms in common protocols.,https://www.nccoe.nist.gov/crypto-agility-considerations-migrating-post-quantum-cryptographic-algorithms,2024-01-01
United States,US,NSA,National Security Agency,,Phase,Migration,2025,2033,Large PKI Systems Migration,Migration of large public key infrastructure systems to CNSA 2.0 algorithms.,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,2022-09-07
United States,US,NIST,National Institute of Standards and Technology,https://www.nist.gov/themes/custom/nist_www/logo.svg,Milestone,Standardization,2027,2027,HQC Standard Finalized (Expected),Final standard incorporating HQC algorithm expected to be published.,https://www.nist.gov/news-events/news/2025/03/nist-selects-hqc-fifth-algorithm-post-quantum-encryption,2025-03-11
United States,US,NSA,National Security Agency,,Milestone,Deadline,2027,2027,NSS Acquisitions CNSA 2.0 Required,New National Security Systems acquisitions must be CNSA 2.0 compliant starting January 2027.,https://media.defense.gov/2022/Sep/07/2003071836/-1/-1/0/CSI_CNSA_2.0_FAQ_.PDF,2024-12-01
United States,US,NSA,National Security Agency,,Milestone,Deadline,2030,2030,112-bit Security Deprecated,"Legacy algorithms offering less than 112-bit security (e.g., RSA-2048) deprecated.",https://csrc.nist.gov/projects/post-quantum-cryptography,2024-01-01
United States,US,NSA,National Security Agency,,Milestone,Deadline,2030,2030,CNSA 2.0 Exclusive - Network/Signing,Exclusively use CNSA 2.0 for software/firmware signing and traditional networking equipment.,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,2022-09-07
United States,US,NSA,National Security Agency,,Milestone,Deadline,2031,2031,NSS Quantum Resistant Majority,Vast majority of cryptography in National Security Systems should be quantum resistant.,https://media.defense.gov/2022/Sep/07/2003071836/-1/-1/0/CSI_CNSA_2.0_FAQ_.PDF,2024-12-01
United States,US,NSA,National Security Agency,,Milestone,Deadline,2033,2033,CNSA 2.0 Exclusive - OS/Web/Cloud,"Exclusively use CNSA 2.0 for web browsers/servers, cloud services, operating systems, and large PKI systems.",https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,2022-09-07
United States,US,NSA,National Security Agency,,Milestone,Deadline,2035,2035,Full CNSA 2.0 Transition Complete,Complete transition to CNSA 2.0 algorithms for all National Security Systems (NSS).,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,2022-09-07
